ID,Label,Super term,Description,Domain,RO-Crate,XSD Datatype,Example values,YAML Type,Constraint,Mandatory,Unique,Regex,Enum,Notes,,schema,SPAR
name,project name,,The project name,Project,name,string,name: Polifonia,String,N,Y,N,,,,,,
project-id,project identifier,,Local identifier of the project,Project,@ id ,string,polifonia,String,Y,Y,Y,[^\s]+(/[^\s]+(/[^\s]+)?)?,,,,,
funder,funder,,The name of the funding body of the project and the URL,Project,funder[Organization],,"funder:
- name: H2020
  url: www.example.org
  grant-agreement: ABC123456
- name: AHRC
  url: www.another.org
  grant-agreement: ABC234",List.Dictionary,N,N,N,,,,,https://schema.org/funder,"frapo:isOutputOf (Investigation) 
> frapo:isEnabledBy (Project) 
> frapo:isFundedBy (Grant) 
> frapo:isAwardedBy (Funding Agency) "
name,funder name,funder,The name of the funder,Project,funder[Organization]/name,string,,String,N,N,N,,,,,,
url,funder URL,funder,Link to the funder organisation web site,Project,funder[Organization]/url,anyURI,,String,Y,N,N,^http[s]?://.+$,,,,,
grant-agreement,grant agreement,funder,Identifier of the grant agreement relative to the funding organisation,Project,funder[Organization]/funding[Grant]/identifier,string,ABC123456,String,N,N,N,,,,,https://schema.org/funding,"frapo:isOutputOf (Investigation) 
> frapo:isEnabledBy (Project) 
> frapo:isFundedBy (Grant) 
> frapo:hasGrantNumber "
has-part,has part,,"List of components that are parts of this project. Refer to components with organisation, repo and local id of the component",Project|Work Package|Pilot|Task,hasPart ,string,"has-part:
- polifonia/musow/my-dataset
- polifonia/meetups/my-dataset
- other/repo/my-dataset",List.String,Y,N,N,[^\s]+(/[^\s]+(/[^\s]+)?)?,,,,,
ro-crate,ro crate,,Specifies whether this yaml file is the reference file for creating a RO crate.,Project|Work Package|Pilot|Task,isPartOf,boolean,- ro-crate:true,Boolean,Y,N,N,,"true,false",,,,
component-id,component ID,,The ID of the component in the Ecosystem. Can be a local identifier or a URI.,Component,,string,my-dataset ,String,N,Y,Y,[^\s]+(/[^\s]+(/[^\s]+)?)?,,,,https://schema.org/identifier,dcterms:identifier
resource,resource,,"The digital resource representing the component (e.g. if the component is of type Dataset, it may be my-dataset.csv or a folder in the repository). It includes the path to a file (if 1 file), the path to a folder (if many files), or absolute URL of an online file (DOI cannot be used)",Component,@ id ,"string,anyURI","./data.csv 
http://www.example.org/myFile.json 
./data/",String,N,N,Y,,,,,,
doi,DOI,,"The DOI of the GitHub repository related to this component, e.g. as published on Zenodo.org",Component,identifier,anyURI,http://doi.org/10.xxxxxx,String,Y,N,N,^http[s]?://.+$,,,,,
name,name,,The name of the component,Component,name,string,musoW,String,N,Y,N,,,,,https://schema.org/name,dcterms:title
description,description,,A text describing the component,Component,description,string,musoW is the registry of musical resources on the Web.,String,N,Y,N,,,,,https://schema.org/abstract ,dcterms:description
type,type,,"The component type, according to the list of components available in Reeco.",Component,@ type ,string,"Dataset, Project, Registry, Workflow, Software
(see component types)",String,Y,Y,N,,"Component,Dataset,Registry,RequirementsCollection,Workflow,Software,Service,Tutorial,Web site,Survey,EcosystemWebsite,SoftwareLibrary,DockerImageContainer,RunningInstance,Ontology,Notebook,Script,KnowledgeGraph,InPresenceSurvey,FocusGroup,Story,Persona,Report,Deliverable,Documentation,EvaluationReport",,,https://schema.org/applicationCategory,rdf:type
release-date,"release 
date",,The date the component was released. Accepted values include any valid XSD date.,Component,releaseDate,date,"2022-02-02 
or 
2020-01-10T12:00:00",String,Y,N,N,,,,,https://schema.org/releasedEvent / https://schema.org/startDate ,dcterms:issued
release-number,"release 
number",,"Version number of the release. Any value is permitted, although we recommend semantic versioning: https://semver.org/",Component,version,string,v0.1,String,N,N,N,,,,,https://schema.org/releasedEvent / https://schema.org/softwareVersion,prism:versionIdentifier
release-link,release link,,Link to access or download the component release,Component,downloadUrl,anyURI,https://github.com/SPARQL-Anything/sparql.anything/releases/tag/v0.8.1,String,Y,N,N,^http[s]?://.+$,,,,https://schema.org/releasedEvent / https://schema.org/releaseNotes,fabio:hasURL
changelog,changelog,,"Link to a Changelog document, a file which contains a chronologically ordered list of notable changes for each version of the component.",Component,discussionUrl,anyURI,https://github.com/SPARQL-Anything/sparql.anything/releases,String,Y,N,N,^http[s]?://.+$,,,,https://schema.org/discussionUrl,cito:isDocumentedBy
licence,licence,,"Link to a licence document of the resource, or a string pointing to one of the supported licences in the Reeco framework.",Component,license,"string,anyURI","- CC-BY
- https://creativecommons.org/licenses/by/4.0/",List.String,N,N,N,,,,,https://schema.org/license,dcterms:license
image,image,,Link to one reference image illustrating the component,Component,image,anyURI,"./image.jpg 
or
http://www.example.org/image.jpg",String,N,N,N,,,,,https://schema.org/image,cito:isDocumentedBy
logo,logo,,Logo of the component in Web format. Accepted image formats are JPEG and PNG.,Component,logo,anyURI,https://avatars.githubusercontent.com/u/79987779?s=200&v=4,String,Y,N,N,^http[s]?://.+$,,,,https://schema.org/logo,
demo,demo,,Link to an online demo of the component,Component,workExample,anyURI,http://data.open.ac.uk/sparql-demo ,String,Y,N,N,^http[s]?://.+$,,,,https://schema.org/workExample,fabio:isManifestationOf
running-instance,"running 
instance",,Link to a running instance of the component (e.g. a software or service) on the Web.,Component,url,anyURI,http://data.open.ac.uk/sparql,String,Y,N,N,^http[s]?://.+$,,,,,fabio:isManifestationOf
contributors,contributors,,"A list of contributors in the form: ""Name <name.surname@mail.com>""",Component,contributor,"string,anyURI","- John Doe <john@doe.com>
- Mick1234 <mick1234@mail.com>
- Fabio009 <http://fabio009.com>
- github/enridaga
- Name Surname
- Name Surname <email>
- Name Surname <URI>
- Name Surname <URI> <ORCID>
- Name Surname <URI|email|ORCID>*",List.String,Y,N,N,TODO,,,,"could be several
https://schema.org/accountablePerson
https://schema.org/author 
https://schema.org/contributor","dcterms:creator
dcterms:contributor"
related-component,"related 
component",,List of components that are related to this one. Use a subproperty when applicable.,Component,isRelatedTo,Component,"related-component:
- informed-by: component-local-11
- use-case: 
   - component-local-12
   - component-local-13
- story: [ story1, story2 ]",List.Dictionary,N,N,N,,,,,"could be several:
https://schema.org/supportingData 
https://schema.org/isBasedOn
https://schema.org/usageInfo ","cito:usesDataFrom / cito:providesDataFor
cito:usesMethodIn / cito:providesMethodFor
cito:isExtendedBy / cito:extends"
informed-by,informed by,related-component,"The component was informed by another component (or resource), for example, a requirements document or a Persona, a Story, a use case, etc...",Component,prov:wasInformedBy,"string,anyURI",,List.String,N,N,N,,,,,,
use-case,use case,related-component,Link to one or more use cases. This term is a specialisation of 'informed-by',Component,prov:wasInformedBy,"string,anyURI",,List.String,N,N,N,,,,,https://schema.org/assesses,cito:obtainsBackgroundFrom
story,story,related-component,Link to one or more user stories. This term is a specialisation of 'informed-by'.,Component,prov:wasInformedBy,"string,anyURI",,List.String,N,N,N,,,,,https://schema.org/assesses,cito:obtainsBackgroundFrom
persona,persona,related-component,Link to one or more persona. This term is a specialisation of 'informed-by'.,Component,prov:wasInformedBy,"string,anyURI",,List.String,N,N,N,,,,,https://schema.org/assesses,cito:obtainsBackgroundFrom
documentation,documentation,related-component,Link to the documentation of the component. ,Component,cito:isDocumentedBy,"string,anyURI",,List.String,N,N,N,,,,,https://schema.org/subjectOf,cito:isDocumentedBy
evaluated-in,evaluated in,related-component,Link to a document (e.g. a user study) or source code demonstrating the validity of the component.,Component,cito:isSupportedBy,"string,anyURI",,List.String,N,N,N,,,,,,
extends-software,extends,related-component,Link to a software that is extended by the current component. Can be a component or an external software.,Component,cito:extends,"string,anyURI",,List.String,N,N,N,,,,,,
reuses-software,"reuses 
software",related-component,Link to a software that is reuses as-is by the current component. Can be a component or an external software.,Component,cito:usesMethodIn,"string,anyURI",,List.String,N,N,N,,,,,,
reuses-data,"reuses 
dataset",related-component,Link to a dataset that is reused by the current component. Can be a component or an external dataset.,Component,cito:usesDataFrom,"string,anyURI",,List.String,N,N,N,,,,,,
serves-data,"serves data 
from",related-component,Link to a dataset that is served by the current component (e.g. an API). Can be a component or an external dataset.,Component,cito:providesDataFor,"string,anyURI",,List.String,N,N,N,,,,,,
produces-data,"produces 
dataset",related-component,Link to a dataset that is produced by the current component (e.g. an algorithm for generative text). Can be a component or an external dataset.,Component,cito:compiles,"string,anyURI",,List.String,N,N,N,,,,,,
reused-in,reused in,related-component,"Link to a software, dataset, or any other component that reuses the current component.",Component,cito:providesMethodFor,"string,anyURI",,List.String,N,N,N,,,,,,
generated-by,generated by,related-component,"Link to a software, dataset, or any other component that produced or generated the current component.",Component,cito:isCompiledBy,"string,anyURI",,List.String,N,N,N,,,,,,
bibliography,bibliography,,"List of bibliographic references that are relevant to the component but that do not fall under a specific category. 
Use ""scientific work"" for the main scholarly publication related to the component",Component,cito:citesForInformation,"string, anyURI","bibliography:
  - main-publication: full citation
  - technical-report:
    - http://doi.org/10.xxxx 
  - deliverable-document: 
    - http://something.pdf ",List.Dictionary,N,N,N,,,,,https://schema.org/citation,cito:isCreditedBy
published-in,published in,bibliography,Link to a meaningful venue where the current component is served or published (e.g. a dataset published on a web portal).,Component,publisher,"string, anyURI",,List.String,N,N,N,,,,,,
main-publication,"main 
publication",bibliography,"The primary, peer reviewed scientific publication related to this component (if non peer-reviewed, use technical-report instead).",Component,cito:isReferencedBy,"string, anyURI",,String,N,N,N,,,,,,
main-report,main technical report,bibliography,"The primary document related to this component (if peer-reviewed publication, use scientific-work instead).",Component,cito:isDocumentedBy,"string, anyURI",,String,N,N,N,,,,,,
deliverable-document,deliverable document,bibliography,Link to the deliverable document related to this component,Component,cito:isDocumentedBy,"string, anyURI",,List.String,N,N,N,,,,,https://schema.org/subjectOf,cito:isDocumentedBy
work-package,"work 
package",,"The work package associated to this component, if any.",Component,isPartOf,string ,"- polifonia
 - WP1
 - WP5",List.String,N,N,N,,,,,https://schema.org/isPartOf,frbr:partOf
pilot,pilot,,A pilot application or case study,Component,isPartOf,string,"- MEETUPS
- BELLS",List.String,N,N,N,,,,,https://schema.org/isPartOf,frbr:partOf
project,project,,The local id of the project,Component,isPartOf,string,- polifonia,List.String,Y,N,N,,,,,,
